transcription_unit_name operon_name promoter_name
galR galR galRp
lpxL lpxL lpxLp
yceA yceA yceAp
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC mraZp
sohB sohB sohBp1
sohB sohB sohBp2
mpl mpl mplp1
mpl mpl mplp2
menA-rraA menA-rraA menAp
astCADBE astCADBE astCp1
astCADBE astCADBE astCp2
astCADBE astCADBE astCp3
pyrH pyrH pyrHp
nrdHIEF nrdHIEF nrdHp
srkA-dsbA srkA-dsbA srkAp
dsbA srkA-dsbA dsbAp
dmsABC dmsABC dmsAp2
moaABCDE moaABCDE moaAp1
moaABCDE moaABCDE moaAp2
ptsG ptsG ptsGp1
ptsG ptsG ptsGp2
grcA grcA grcAp1
rrsA-ileT-alaT-rrlA-rrfA rrsA-ileT-alaT-rrlA-rrfA rrsAp1
rrsC-gltU-rrlC-rrfC rrsC-gltU-rrlC-rrfC rrsCp1
rrsC-gltU-rrlC-rrfC rrsC-gltU-rrlC-rrfC rrsCp2
rrsE-gltV-rrlE-rrfE rrsE-gltV-rrlE-rrfE rrsEp
rrsG-gltW-rrlG-rrfG rrsG-gltW-rrlG-rrfG rrsGp1
rrsG-gltW-rrlG-rrfG rrsG-gltW-rrlG-rrfG rrsGp2
rrsH-ileV-alaV-rrlH-rrfH rrsH-ileV-alaV-rrlH-rrfH rrsHp1
rrsH-ileV-alaV-rrlH-rrfH rrsH-ileV-alaV-rrlH-rrfH rrsHp2
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF rrsDp1
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF rrsDp2
uspB uspB uspBp
efp efp efpp
sugE gdx sugEp
chpSB chpSB chpSp1
chpSB chpSB chpSp2
uof-fur fldA-uof-fur uofp
fldA-uof-fur fldA-uof-fur fldAp
argP argP argPp
yihG yihG yihGp
ydeA ydeA ydeAp
ftsAZ mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC ftsAp1
dctA dctA dctAp
flxA flxA flxAp
fliC fliC fliCp
motAB-cheAW motAB-cheAW motAp
tsr tsr tsrp
flgMN flgAMN flgMp
flgK flgKL flgKp
aer aer aerp
tar-tap-cheRBYZ tar-tap-cheRBYZ tarp
ycgR ycgR ycgRp
yhjH pdeH yhjHp
nanATEK-yhcH nanATEK-yhcH nanAp
nanA nanATEK-yhcH nanAp
dcuC dcuC dcuCp
asr asr asrp
fxsA fxsA fxsAp
pth-ychF pth-ychF pthp
ychF pth-ychF ychFp
metK metK metKp
pspABCDE pspABCDE pspAp
pspF pspF pspFp1
pspF pspF pspFp2
pspF pspF pspFp3
cusCFBA cusCFBA cusCp
cusRS cusRS cusRp
inaA inaA inaAp
iscRSUA iscRSUA iscRp
xseB-ispA-dxs-yajO xseB-ispA-dxs-yajO xseBp
dcuD dcuD dcuDp
gabDTP glaH-lhgD-gabDTP gabDp1
rlmL-uup rlmL-uup rlmLp
psiE psiE psiEp
hpt hpt hptp
gcd gcd gcdp1
gcd gcd gcdp2
mfd mfd mfdp1
mfd mfd mfdp2
ybjC-nfsA-rimK-ybjN ybjC-nfsA-rimK-ybjN ybjCp
rimK-ybjN ybjC-nfsA-rimK-ybjN rimKp
gadX gadAXW gadXp
gadXW gadAXW gadXp
metNIQ metNIQ metNp
serA serA serAp2
pcnB-folK pcnB-folK pcnBp3
mhpABCDFE mhpABCDFE mhpAp
mhpR-lacI mhpRp
mgtA mgtLA mgtAp2
treR treR treRp2
treR treR treRp3
treR treR treRp4
fiu fiu fiup
exbBD exbBD exbBp
exbD exbBD exbDp
fhuE fhuE fhuEp
sufABCDSE sufABCDSE sufAp
narU narU narUp1
narU narU narUp2
flu isrC-flu flup
amiA-hemF amiA-hemF amiAp
hemF amiA-hemF hemFp
emrKY emrKY emrKp
trxC trxC trxCp
glsA-ybaT glsA-ybaT glsAp
cueO cueO cueOp
chiA chiA chiAp
xdhABC xdhAp
cydAB cydAB cydAp3
cydAB cydAB cydAp4
cydAB cydAB cydAp5
fldB fldB fldBp
infC-rpmI-rplT thrS-infC-rpmI-rplT-pheMST-ihfA infCp2
patA patA patAp
potFGHI potFGHI potFp1
rrsB-gltT-rrlB-rrfB rrsB-gltT-rrlB-rrfB rrsBp2
gpmA gpmA gpmAp
ygaC ygaC ygaCp
lpxP lpxP lpxPp
ybaB-recR ybaBp
smpA bamE bamEp
psd-mscM psdp
bacA bacA bacAp
sbmA-yaiW sbmA-yaiW sbmAp
pphA pphA pphAp
yeaY tsaB-yeaY yeaYp
yiiS-uspD yiiSp
sixA sixA sixAp
yfeYX yfeYX yfeYp
argT-hisJQMP argT-hisJQMP argTp
prpBCDE prpBCDE prpBp
yeaGH yeaGH yeaGp1
yhdWXYZ yhdWXYZ yhdWp
ddpXABCDF ddpXABCDF ddpXp
gltI-sroC-gltJKL gltIp
rutABCDEFG rutABCDEFG rutAp
acs-yjcHG acs-yjcH-actP acsp1
acs-yjcHG acs-yjcH-actP acsp2
rapA-rluA hepAp
nhaAR nhaAR nhaAp2
sra bdm-sra srap
entS entS entSp1
entS entS entSp2
fepDGC fepDGC fepDp2
csiD-ygaF-gabDTP glaH-lhgD-gabDTP csiDp
pdeR pdeR pdeRp
dsbC xerD-dsbC-recJ-prfB-lysS dsbCp
mdoGH opgGH opgGp2
hlpA-lpxD-fabZ-lpxA bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE hlpAp
bamC dapA-bamC bamCp
rfaDFCL rfaD-waaFCL rfaDp1
rfaDFCL rfaD-waaFCL rfaDp2
rfaDFCL rfaD-waaFCL rfaDp4
lpxD bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE lpxDp
moeAB moeAB moeAp
fadD-sroD fadD-sroD fadDp
yggN yggN yggNp1
yggN yggN yggNp2
htrG ygiM-cca ygiMp
yraP yraP yraPp
yidQ yidQ yidQp
ytfJ ytfJ ytfJp
bamA bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE bamAp
yqjA-mzrA yqjAp2
bamD bamD bamDp
rseP rseP rsePp
yghF yghF yghFp
imp lptD-surA-pdxA-rsmA-apaGH impp1
imp lptD-surA-pdxA-rsmA-apaGH impp2
imp-surA-pdxA lptD-surA-pdxA-rsmA-apaGH impp3
iclR iclR iclRp
nagE nagE nagEp
puuP puuA-ymjE-puuP puuPp
glrK glrK glrKp
norVW norVW norVp
seqA-pgm seqA-pgm seqAp
garD garD garDp
gudPXD gudPXD gudPp
mngAB mngAB mngAp
rpiB rpiB rpiBp
cdaR cdaR cdaRp
alsRBACE alsRBACE alsRp2
alsRBACE alsRBACE alsRp1
gntR gntRKU gntRp2
gntR gntRKU gntRp3
gntR gntRKU gntRp4
galETKM galETKM galEp3
dcuB-fumB dcuB-fumB dcuBp2
znuCB znuCB znuCp
zntA zntA zntAp
nfsB nfsB nfsBp
idnK idnK idnKp
idnDOTR idnDOTR idnDp
lacZYA lacZYA lacZp3
lacZYA lacZYA lacZp2
lacZYA lacZYA lacZp4
csrB csrB csrBp
